CMDLINE /home/lippincm/miniforge3/envs/GFF_featurization/bin/python3.12 granularity.py
MEM 0.562500 1742495742.8152
MEM 34.125000 1742495742.9154
MEM 54.910156 1742495743.0191
MEM 107.035156 1742495743.1193
MEM 130.496094 1742495743.2195
MEM 148.496094 1742495743.3197
MEM 318.910156 1742495743.4199
MEM 894.250000 1742495743.5202
MEM 1360.074219 1742495743.6204
MEM 1360.074219 1742495743.7207
MEM 1360.074219 1742495743.8209
MEM 1360.074219 1742495743.9211
MEM 1360.074219 1742495744.0214
MEM 1360.074219 1742495744.1216
MEM 1360.074219 1742495744.2218
MEM 1360.074219 1742495744.3221
MEM 1360.074219 1742495744.4223
MEM 1416.085938 1742495744.5226
MEM 1359.964844 1742495744.6228
MEM 1359.964844 1742495744.7231
MEM 1359.964844 1742495744.8233
MEM 1359.964844 1742495744.9235
MEM 1359.964844 1742495745.0237
MEM 1359.964844 1742495745.1239
MEM 1359.964844 1742495745.2242
MEM 1359.964844 1742495745.3244
MEM 1359.964844 1742495745.4246
MEM 1478.574219 1742495745.5249
MEM 1359.964844 1742495745.6251
MEM 1359.964844 1742495745.7253
MEM 1359.964844 1742495745.8255
MEM 1359.964844 1742495745.9258
MEM 1359.964844 1742495746.0260
MEM 1359.964844 1742495746.1262
MEM 1359.964844 1742495746.2264
MEM 1359.964844 1742495746.3267
MEM 1359.964844 1742495746.4269
MEM 1311.589844 1742495746.5272
MEM 1434.527344 1742495746.6274
MEM 1434.527344 1742495746.7276
MEM 1434.527344 1742495746.8279
MEM 1434.527344 1742495746.9282
MEM 1434.527344 1742495747.0284
MEM 1434.527344 1742495747.1286
MEM 1434.527344 1742495747.2289
MEM 1434.527344 1742495747.3291
MEM 1556.953125 1742495747.4294
MEM 2448.890625 1742495747.5298
MEM 2478.765625 1742495747.6300
MEM 2478.765625 1742495747.7303
MEM 2478.765625 1742495747.8305
MEM 2478.765625 1742495747.9310
MEM 2478.765625 1742495748.0314
MEM 2478.765625 1742495748.1317
MEM 2478.765625 1742495748.2319
MEM 2478.765625 1742495748.3323
MEM 2478.765625 1742495748.4326
MEM 2478.765625 1742495748.5328
MEM 2488.832031 1742495748.6331
MEM 1883.078125 1742495748.7333
MEM 2167.300781 1742495748.8335
MEM 2427.863281 1742495748.9339
MEM 2685.800781 1742495749.0342
MEM 2774.300781 1742495749.1344
MEM 2865.613281 1742495749.2346
MEM 2957.113281 1742495749.3348
MEM 3052.925781 1742495749.4351
MEM 3151.363281 1742495749.5353
MEM 3213.800781 1742495749.6355
MEM 3213.800781 1742495749.7357
MEM 3213.800781 1742495749.8361
MEM 3213.800781 1742495749.9363
MEM 3213.800781 1742495750.0365
MEM 3213.800781 1742495750.1368
MEM 3213.800781 1742495750.2370
MEM 3214.175781 1742495750.3373
MEM 3217.738281 1742495750.4375
MEM 3221.863281 1742495750.5377
MEM 2212.125000 1742495750.6380
MEM 2008.703125 1742495750.7381
MEM 2012.078125 1742495750.8383
MEM 2013.578125 1742495750.9385
MEM 2013.765625 1742495751.0387
MEM 2013.765625 1742495751.1389
MEM 2015.078125 1742495751.2390
MEM 2015.453125 1742495751.3392
MEM 2017.328125 1742495751.4394
MEM 2017.515625 1742495751.5395
MEM 2017.703125 1742495751.6397
MEM 2018.078125 1742495751.7399
MEM 2018.265625 1742495751.8400
MEM 2018.265625 1742495751.9402
MEM 2018.265625 1742495752.0404
MEM 2018.265625 1742495752.1406
MEM 2018.265625 1742495752.2408
MEM 2018.265625 1742495752.3409
MEM 2018.265625 1742495752.4411
MEM 2049.203125 1742495752.5413
MEM 2113.703125 1742495752.6416
MEM 2147.265625 1742495752.7418
MEM 2147.265625 1742495752.8419
MEM 2147.265625 1742495752.9421
MEM 2147.265625 1742495753.0424
MEM 2147.265625 1742495753.1425
MEM 2147.265625 1742495753.2427
MEM 2147.265625 1742495753.3428
MEM 2147.265625 1742495753.4430
MEM 2147.265625 1742495753.5433
MEM 2147.265625 1742495753.6435
MEM 2147.265625 1742495753.7437
MEM 2147.265625 1742495753.8440
MEM 2147.265625 1742495753.9442
MEM 2147.265625 1742495754.0444
MEM 2147.265625 1742495754.1447
MEM 2147.265625 1742495754.2449
MEM 2147.265625 1742495754.3452
MEM 2147.265625 1742495754.4454
MEM 2147.265625 1742495754.5456
MEM 2147.265625 1742495754.6459
MEM 2147.265625 1742495754.7461
MEM 2147.265625 1742495754.8463
MEM 2147.265625 1742495754.9466
MEM 2147.265625 1742495755.0468
MEM 2147.265625 1742495755.1470
MEM 2147.265625 1742495755.2473
MEM 2147.265625 1742495755.3476
MEM 2147.265625 1742495755.4478
MEM 2147.265625 1742495755.5481
MEM 2147.265625 1742495755.6484
MEM 2147.265625 1742495755.7486
MEM 2147.265625 1742495755.8488
MEM 2147.265625 1742495755.9491
MEM 2147.265625 1742495756.0493
MEM 2147.265625 1742495756.1496
MEM 2147.265625 1742495756.2498
MEM 2033.375000 1742495756.3502
MEM 2091.312500 1742495756.4505
MEM 2147.375000 1742495756.5508
MEM 2147.375000 1742495756.6511
MEM 2147.375000 1742495756.7513
MEM 2147.375000 1742495756.8516
MEM 2147.375000 1742495756.9519
MEM 2147.375000 1742495757.0522
MEM 2147.375000 1742495757.1525
MEM 2147.375000 1742495757.2528
MEM 2147.375000 1742495757.3531
MEM 2147.375000 1742495757.4533
