CMDLINE /home/lippincm/miniforge3/envs/GFF_featurization/bin/python3.12 granularity.py
MEM 0.375000 1742496317.3007
MEM 34.875000 1742496317.4009
MEM 56.785156 1742496317.5022
MEM 108.160156 1742496317.6023
MEM 133.312500 1742496317.7025
MEM 155.437500 1742496317.8026
MEM 410.902344 1742496317.9029
MEM 989.296875 1742496318.0031
MEM 1359.703125 1742496318.1033
MEM 1359.703125 1742496318.2035
MEM 1359.703125 1742496318.3037
MEM 1359.703125 1742496318.4039
MEM 1359.703125 1742496318.5041
MEM 1359.703125 1742496318.6043
MEM 1359.703125 1742496318.7046
MEM 1359.703125 1742496318.8048
MEM 1359.703125 1742496318.9050
MEM 1359.703125 1742496319.0052
MEM 1359.601562 1742496319.1054
MEM 1359.601562 1742496319.2056
MEM 1359.601562 1742496319.3058
MEM 1359.601562 1742496319.4060
MEM 1359.601562 1742496319.5062
MEM 1359.601562 1742496319.6065
MEM 1359.601562 1742496319.7068
MEM 1359.601562 1742496319.8070
MEM 1359.601562 1742496319.9072
MEM 1359.601562 1742496320.0074
MEM 1494.097656 1742496320.1076
MEM 1359.488281 1742496320.2079
MEM 1359.488281 1742496320.3081
MEM 1359.488281 1742496320.4083
MEM 1359.488281 1742496320.5086
MEM 1359.488281 1742496320.6088
MEM 1359.488281 1742496320.7090
MEM 1359.488281 1742496320.8092
MEM 1359.488281 1742496320.9094
MEM 1359.488281 1742496321.0097
MEM 1379.609375 1742496321.1099
MEM 1434.050781 1742496321.2101
MEM 1434.050781 1742496321.3103
MEM 1434.050781 1742496321.4105
MEM 1434.050781 1742496321.5108
MEM 1434.050781 1742496321.6109
MEM 1434.050781 1742496321.7112
MEM 1434.050781 1742496321.8114
MEM 1434.050781 1742496321.9116
MEM 1444.101562 1742496322.0118
MEM 1738.218750 1742496322.1120
MEM 2478.031250 1742496322.2122
MEM 2478.031250 1742496322.3124
MEM 2478.031250 1742496322.4126
MEM 2478.031250 1742496322.5128
MEM 1990.156250 1742496322.6130
MEM 2478.031250 1742496322.7132
MEM 2478.031250 1742496322.8134
MEM 2478.031250 1742496322.9138
MEM 2478.031250 1742496323.0141
MEM 2478.031250 1742496323.1145
MEM 2478.031250 1742496323.2149
MEM 2610.527344 1742496323.3151
MEM 2107.078125 1742496323.4153
MEM 2229.074219 1742496323.5157
MEM 2674.324219 1742496323.6159
MEM 2769.386719 1742496323.7162
MEM 2864.074219 1742496323.8165
MEM 2958.949219 1742496323.9167
MEM 3053.636719 1742496324.0170
MEM 3148.699219 1742496324.1172
MEM 3213.199219 1742496324.2175
MEM 3213.199219 1742496324.3176
MEM 3213.199219 1742496324.4178
MEM 3213.199219 1742496324.5181
MEM 3213.199219 1742496324.6184
MEM 3213.199219 1742496324.7185
MEM 3213.199219 1742496324.8187
MEM 3213.199219 1742496324.9190
MEM 3215.824219 1742496325.0191
MEM 3219.574219 1742496325.1193
MEM 3222.949219 1742496325.2196
MEM 2007.457031 1742496325.3197
MEM 2010.457031 1742496325.4199
MEM 2013.082031 1742496325.5201
MEM 2013.082031 1742496325.6203
MEM 2013.082031 1742496325.7205
MEM 2013.832031 1742496325.8208
MEM 2014.769531 1742496325.9210
MEM 2015.144531 1742496326.0212
MEM 2016.832031 1742496326.1214
