CMDLINE /home/lippincm/miniforge3/envs/GFF_featurization/bin/python3.12 granularity.py
MEM 0.187500 1742490816.6838
MEM 35.062500 1742490816.7841
MEM 57.570312 1742490816.8881
MEM 108.382812 1742490816.9883
MEM 136.164062 1742490817.0885
MEM 157.351562 1742490817.1887
MEM 422.765625 1742490817.2891
MEM 993.222656 1742490817.3894
MEM 1359.570312 1742490817.4896
MEM 1359.570312 1742490817.5899
MEM 1359.570312 1742490817.6901
MEM 1359.570312 1742490817.7903
MEM 1359.570312 1742490817.8905
MEM 1359.570312 1742490817.9908
MEM 1359.570312 1742490818.0910
MEM 1359.570312 1742490818.1912
MEM 1359.570312 1742490818.2915
MEM 1359.570312 1742490818.3917
MEM 1359.570312 1742490818.4919
MEM 1359.570312 1742490818.5922
MEM 1359.570312 1742490818.6924
MEM 1359.570312 1742490818.7926
MEM 1359.570312 1742490818.8928
MEM 1359.570312 1742490818.9931
MEM 1359.570312 1742490819.0933
MEM 1359.570312 1742490819.1935
MEM 1359.570312 1742490819.2938
MEM 1359.570312 1742490819.3940
MEM 1490.183594 1742490819.4943
MEM 1359.574219 1742490819.5945
MEM 1359.574219 1742490819.6947
MEM 1359.574219 1742490819.7950
MEM 1359.574219 1742490819.8952
MEM 1359.574219 1742490819.9954
MEM 1359.574219 1742490820.0956
MEM 1359.574219 1742490820.1958
MEM 1359.574219 1742490820.2961
MEM 1359.574219 1742490820.3963
MEM 1405.695312 1742490820.4966
MEM 1434.136719 1742490820.5969
MEM 1434.136719 1742490820.6972
MEM 1434.136719 1742490820.7974
MEM 1434.136719 1742490820.8976
MEM 1434.136719 1742490820.9979
MEM 1434.136719 1742490821.0981
MEM 1434.136719 1742490821.1985
MEM 1434.136719 1742490821.2987
MEM 1488.328125 1742490821.3990
MEM 1820.488281 1742490821.4994
MEM 2478.300781 1742490821.5997
MEM 2478.300781 1742490821.6999
MEM 2478.300781 1742490821.8002
MEM 2478.300781 1742490821.9004
MEM 2092.425781 1742490822.0007
MEM 2478.300781 1742490822.1012
MEM 2478.300781 1742490822.2014
MEM 2478.300781 1742490822.3019
MEM 2478.300781 1742490822.4022
MEM 2478.300781 1742490822.5025
MEM 2478.300781 1742490822.6027
MEM 2508.367188 1742490822.7030
MEM 1882.613281 1742490822.8032
MEM 2168.468750 1742490822.9034
MEM 2571.441406 1742490823.0037
MEM 2701.316406 1742490823.1040
MEM 2792.628906 1742490823.2042
MEM 2885.628906 1742490823.3045
MEM 2979.566406 1742490823.4048
MEM 3074.066406 1742490823.5050
MEM 3168.191406 1742490823.6052
MEM 3213.566406 1742490823.7055
MEM 3213.566406 1742490823.8058
MEM 3213.566406 1742490823.9060
MEM 3213.566406 1742490824.0063
MEM 3213.566406 1742490824.1066
MEM 3213.566406 1742490824.2068
MEM 3213.566406 1742490824.3071
MEM 3213.566406 1742490824.4073
MEM 3216.753906 1742490824.5076
MEM 3220.503906 1742490824.6078
MEM 2525.675781 1742490824.7080
MEM 2007.742188 1742490824.8083
MEM 2010.929688 1742490824.9085
MEM 2013.367188 1742490825.0087
MEM 2013.367188 1742490825.1089
MEM 2013.367188 1742490825.2092
MEM 2013.929688 1742490825.3095
MEM 2015.054688 1742490825.4098
MEM 2016.367188 1742490825.5100
MEM 2016.929688 1742490825.6102
MEM 2017.117188 1742490825.7105
MEM 2017.492188 1742490825.8108
MEM 2017.492188 1742490825.9110
MEM 2017.679688 1742490826.0113
MEM 2017.679688 1742490826.1115
MEM 2017.679688 1742490826.2118
MEM 2017.679688 1742490826.3120
MEM 2017.679688 1742490826.4123
MEM 2017.679688 1742490826.5125
MEM 2045.617188 1742490826.6128
MEM 2108.804688 1742490826.7131
MEM 2146.492188 1742490826.8133
MEM 2146.492188 1742490826.9136
MEM 2146.492188 1742490827.0139
MEM 2146.492188 1742490827.1142
MEM 2146.492188 1742490827.2144
MEM 2146.492188 1742490827.3147
MEM 2146.492188 1742490827.4150
MEM 2146.492188 1742490827.5152
MEM 2146.492188 1742490827.6155
MEM 2146.492188 1742490827.7157
MEM 2146.492188 1742490827.8160
MEM 2146.492188 1742490827.9163
MEM 2146.492188 1742490828.0166
MEM 2146.492188 1742490828.1169
MEM 2146.492188 1742490828.2172
MEM 2146.492188 1742490828.3174
MEM 2146.492188 1742490828.4177
MEM 2146.492188 1742490828.5180
MEM 2146.492188 1742490828.6182
MEM 2146.492188 1742490828.7184
MEM 2146.492188 1742490828.8187
MEM 2146.492188 1742490828.9190
MEM 2146.492188 1742490829.0192
MEM 2146.492188 1742490829.1194
MEM 2146.492188 1742490829.2197
MEM 2146.492188 1742490829.3199
MEM 2146.492188 1742490829.4202
MEM 2146.492188 1742490829.5204
MEM 2146.492188 1742490829.6207
MEM 2146.492188 1742490829.7210
MEM 2146.492188 1742490829.8212
MEM 2146.492188 1742490829.9215
MEM 2146.492188 1742490830.0218
MEM 2146.492188 1742490830.1222
MEM 2146.492188 1742490830.2225
MEM 2146.492188 1742490830.3228
MEM 2146.492188 1742490830.4231
MEM 2052.128906 1742490830.5234
MEM 2115.691406 1742490830.6237
MEM 2146.441406 1742490830.7240
MEM 2146.441406 1742490830.8242
MEM 2146.441406 1742490830.9245
MEM 2146.441406 1742490831.0248
MEM 2146.441406 1742490831.1251
MEM 2146.441406 1742490831.2254
MEM 2146.441406 1742490831.3256
MEM 2146.441406 1742490831.4259
MEM 2146.441406 1742490831.5262
MEM 2146.441406 1742490831.6265
MEM 2146.441406 1742490831.7267
MEM 2146.441406 1742490831.8270
MEM 2146.441406 1742490831.9272
MEM 2146.441406 1742490832.0275
MEM 2146.441406 1742490832.1278
MEM 2146.441406 1742490832.2280
MEM 2146.441406 1742490832.3283
MEM 2146.441406 1742490832.4285
MEM 2146.441406 1742490832.5288
MEM 2146.441406 1742490832.6291
MEM 2146.441406 1742490832.7294
MEM 2146.441406 1742490832.8297
MEM 2146.441406 1742490832.9299
MEM 2146.441406 1742490833.0302
MEM 2146.441406 1742490833.1305
MEM 2146.441406 1742490833.2308
MEM 2146.441406 1742490833.3311
MEM 2146.441406 1742490833.4314
MEM 2146.441406 1742490833.5317
MEM 2146.441406 1742490833.6320
MEM 2146.441406 1742490833.7322
MEM 2146.441406 1742490833.8325
MEM 2146.441406 1742490833.9328
MEM 2146.441406 1742490834.0331
MEM 2146.441406 1742490834.1334
MEM 2146.441406 1742490834.2336
MEM 2020.343750 1742490834.3339
MEM 2318.343750 1742490834.4342
MEM 2690.656250 1742490834.5345
MEM 2839.640625 1742490834.6348
MEM 3197.265625 1742490834.7351
MEM 3361.140625 1742490834.8355
MEM 3361.140625 1742490834.9357
MEM 3361.140625 1742490835.0360
MEM 3361.140625 1742490835.1363
MEM 3361.140625 1742490835.2367
MEM 3361.140625 1742490835.3370
MEM 3491.750000 1742490835.4372
MEM 2863.320312 1742490835.5376
MEM 3435.632812 1742490835.6379
MEM 3522.242188 1742490835.7382
MEM 3684.242188 1742490835.8386
MEM 4106.117188 1742490835.9391
MEM 4106.117188 1742490836.0393
MEM 4106.117188 1742490836.1396
MEM 4106.117188 1742490836.2400
MEM 4106.117188 1742490836.3403
MEM 4106.117188 1742490836.4406
MEM 4206.675781 1742490836.5408
MEM 3518.246094 1742490836.6412
MEM 4144.183594 1742490836.7414
MEM 4140.183594 1742490836.8418
MEM 4297.171875 1742490836.9421
MEM 4851.046875 1742490837.0425
MEM 4851.046875 1742490837.1429
MEM 4851.046875 1742490837.2431
MEM 4851.046875 1742490837.3435
MEM 4851.046875 1742490837.4438
MEM 4851.046875 1742490837.5441
MEM 4881.113281 1742490837.6443
MEM 4291.171875 1742490837.7446
MEM 4819.171875 1742490837.8449
MEM 4925.484375 1742490837.9453
MEM 5074.468750 1742490838.0456
MEM 5595.968750 1742490838.1460
MEM 5595.968750 1742490838.2463
MEM 5595.968750 1742490838.3466
MEM 5595.968750 1742490838.4471
MEM 5595.968750 1742490838.5474
MEM 5595.968750 1742490838.6477
MEM 5611.972656 1742490838.7480
MEM 5020.031250 1742490838.8483
MEM 5524.093750 1742490838.9486
MEM 5670.406250 1742490839.0490
MEM 5819.390625 1742490839.1494
MEM 6340.890625 1742490839.2497
MEM 6340.890625 1742490839.3501
MEM 6340.890625 1742490839.4504
MEM 6340.890625 1742490839.5508
MEM 6340.890625 1742490839.6511
MEM 6340.890625 1742490839.7514
MEM 6356.957031 1742490839.8517
MEM 5767.015625 1742490839.9519
MEM 6233.015625 1742490840.0522
MEM 6415.328125 1742490840.1526
MEM 6564.312500 1742490840.2529
MEM 7025.937500 1742490840.3532
MEM 7085.812500 1742490840.4536
MEM 7085.812500 1742490840.5540
MEM 7085.812500 1742490840.6543
MEM 7085.812500 1742490840.7545
MEM 7085.812500 1742490840.8548
MEM 7085.812500 1742490840.9551
MEM 6489.875000 1742490841.0553
MEM 6911.875000 1742490841.1556
MEM 7160.187500 1742490841.2559
MEM 7309.171875 1742490841.3561
MEM 7830.484375 1742490841.4564
MEM 7830.671875 1742490841.5567
MEM 7830.671875 1742490841.6570
MEM 7830.671875 1742490841.7574
MEM 7830.671875 1742490841.8576
MEM 7830.671875 1742490841.9579
MEM 7830.671875 1742490842.0581
MEM 7234.796875 1742490842.1584
MEM 7608.796875 1742490842.2588
MEM 7905.171875 1742490842.3591
MEM 8054.218750 1742490842.4593
MEM 8459.843750 1742490842.5597
MEM 8575.718750 1742490842.6600
MEM 8575.718750 1742490842.7602
MEM 8575.718750 1742490842.8605
MEM 8575.718750 1742490842.9608
MEM 8575.718750 1742490843.0612
MEM 8575.718750 1742490843.1615
MEM 8694.273438 1742490843.2620
MEM 8051.843750 1742490843.3623
MEM 8629.781250 1742490843.4626
MEM 8667.781250 1742490843.5630
MEM 8782.765625 1742490843.6633
MEM 9320.640625 1742490843.7639
MEM 9320.640625 1742490843.8641
MEM 9320.640625 1742490843.9644
MEM 9320.640625 1742490844.0648
MEM 9320.640625 1742490844.1651
MEM 9320.640625 1742490844.2655
MEM 9334.707031 1742490844.3658
MEM 8736.765625 1742490844.4661
MEM 9216.769531 1742490844.5664
MEM 9395.082031 1742490844.6667
MEM 9544.066406 1742490844.7670
MEM 10065.566406 1742490844.8673
MEM 10065.566406 1742490844.9676
MEM 10065.566406 1742490845.0679
MEM 10065.566406 1742490845.1681
MEM 10065.566406 1742490845.2684
MEM 10065.566406 1742490845.3686
MEM 10065.566406 1742490845.4689
MEM 9469.691406 1742490845.5692
MEM 9799.691406 1742490845.6695
MEM 10140.003906 1742490845.7697
MEM 10288.988281 1742490845.8701
MEM 10682.613281 1742490845.9704
MEM 10810.488281 1742490846.0707
MEM 10810.488281 1742490846.1710
MEM 10810.488281 1742490846.2712
MEM 10810.488281 1742490846.3715
MEM 10810.488281 1742490846.4719
MEM 10810.488281 1742490846.5722
MEM 10884.980469 1742490846.6725
MEM 10472.550781 1742490846.7727
MEM 10884.863281 1742490846.8730
MEM 11033.847656 1742490846.9733
MEM 11425.472656 1742490847.0735
MEM 11555.347656 1742490847.1738
MEM 11555.347656 1742490847.2740
MEM 11555.347656 1742490847.3743
MEM 11555.347656 1742490847.4745
MEM 11555.347656 1742490847.5748
MEM 11555.347656 1742490847.6750
MEM 10959.472656 1742490847.7753
MEM 11299.472656 1742490847.8756
MEM 11629.785156 1742490847.9759
MEM 11778.769531 1742490848.0762
MEM 12194.394531 1742490848.1765
MEM 12300.269531 1742490848.2768
MEM 12300.269531 1742490848.3772
MEM 12300.269531 1742490848.4776
MEM 12300.269531 1742490848.5779
MEM 12300.269531 1742490848.6781
MEM 12300.269531 1742490848.7784
MEM 12374.828125 1742490848.8787
MEM 11932.398438 1742490848.9790
MEM 12374.710938 1742490849.0793
MEM 12497.320312 1742490849.1796
MEM 12655.320312 1742490849.2799
MEM 13045.195312 1742490849.3803
MEM 13045.195312 1742490849.4806
MEM 13045.195312 1742490849.5809
MEM 13045.195312 1742490849.6813
MEM 13045.195312 1742490849.7816
MEM 13045.195312 1742490849.8818
MEM 13133.750000 1742490849.9821
MEM 12450.820312 1742490850.0824
MEM 13107.257812 1742490850.1826
MEM 13200.242188 1742490850.2829
MEM 13360.242188 1742490850.3832
MEM 13790.117188 1742490850.4835
MEM 13790.117188 1742490850.5838
MEM 13790.117188 1742490850.6842
MEM 13790.117188 1742490850.7845
MEM 13790.117188 1742490850.8847
MEM 13790.117188 1742490850.9852
MEM 13864.371094 1742490851.0855
MEM 13268.617188 1742490851.1857
MEM 13826.179688 1742490851.2860
MEM 13872.179688 1742490851.3864
MEM 14051.164062 1742490851.4867
MEM 14535.039062 1742490851.5871
MEM 14535.039062 1742490851.6874
